Author,n,Sex,Group,Health,Age_grp,Age_M,Age_SD,Age_SEM,BWgt_M,BWgt_SD,BWgt_SEM,RT_status,RT_yr_min,RT_yr_M,RT_yr_SD,Equipment,Exercise,Upper_Lower,%1RM,Limb,Pace_method,CON_s,ECC_s,Sum_s,Contraction,ECC_CON_Reps_M,ECC_CON_Reps_SD,ECC_CON_Reps_SEM,ECC_CON_Reps_MIN,ECC_CON_Reps_MAX,ECC_CON_1RM_M,ECC_CON_1RM_SD,ECC_CON_1RM_ratio_M,ECC_CON_1RM_ratio_SD,ECC_1RM_M,ECC_1RM_SD,CON_1RM_M,CON_1RM_SD,ABT_Bwgt,ABT_Hgt
Brechue.JSCR.2009,35,M,G3,Healthy,Adult 18-59,19.7,1.3,,113.15,19.64,,,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,8.9,1.8,,,,137.41,15.51,1.25,0.13,,,,,NO,NO
Brechue.JSCR.2009,35,M,G3,Healthy,Adult 18-59,19.7,1.3,,113.15,19.64,,,,,,Barbell,Bench press,Upper,90,Bilateral,,,,,ECC-CON,3.6,0.9,,,,137.41,15.51,1.25,0.13,,,,,NO,NO
Brechue.JSCR.2012,58,M,G1,Healthy,Adult 18-59,19.6,1.2,,102.5,19.5,,,,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,11.8,3.2,,7,23,166,29.5,1.66,0.32,,,,,NO,NO
Brown.BioResearchOpenAccess.2019,9,F,G1,Healthy,Adult 18-59,23.78,6.4,,64.6,9.83,,Untrained,,0,0,Barbell,Squat,Lower,70,Bilateral,,,,,ECC-CON,7.11,6.75,,,,43.16,16.22,0.668,,,,,,NO,NO
Brown.BioResearchOpenAccess.2019,7,F,G2,Healthy,Adult 18-59,22,2.83,,60.39,5.77,,Untrained,,0,0,Barbell,Squat,Lower,70,Bilateral,,,,,ECC-CON,11.71,8.62,,,,42.43,6.72,0.703,,,,,,NO,NO
Buckner.ClinPhysioFunctImaging.2019,22,Mixed,G1,Healthy,Adult 18-59,22,2,,76,17,,Trained,0.5,,,Other free weights,Biceps curl,Upper,70,Unilateral,,,,,ECC-CON,8,2,,,,20,8.9,0.26,,,,,,NO,NO
Camic.JSCR.2014,23,M,G1,Healthy,Adult 18-59,22.1,2.5,,80.2,11.03,,Untrained,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,8,1.9,,,,87,19.66,1.085,,,,,,YES,NO
Camic.JSCR.2014,27,M,G2,Healthy,Adult 18-59,22.1,2.5,,79.8,10.39,,Untrained,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,7.4,3.1,,,,89.3,20.78,1.119,,,,,,YES,NO
Camic.JSCR.2014,27,M,G3,Healthy,Adult 18-59,22.1,2.5,,81.3,10.91,,Untrained,,,,Barbell,Bench press,Upper,80,Bilateral,,,,,ECC-CON,8.7,2.6,,,,88.5,20.78,1.089,,,,,,YES,NO
Camic.JSCR.2014,23,M,G1,Healthy,Adult 18-59,22.1,2.5,,80.2,11.03,,Untrained,,,,Machine,Knee extension,Lower,80,Bilateral,,,,,ECC-CON,13.2,4.3,,,,96,24.94,1.197,,,,,,YES,NO
Camic.JSCR.2014,27,M,G2,Healthy,Adult 18-59,22.1,2.5,,79.8,10.39,,Untrained,,,,Machine,Knee extension,Lower,80,Bilateral,,,,,ECC-CON,12.8,4.2,,,,104,17.67,1.303,,,,,,YES,NO
Camic.JSCR.2014,27,M,G3,Healthy,Adult 18-59,22.1,2.5,,81.3,10.91,,Untrained,,,,Machine,Knee extension,Lower,80,Bilateral,,,,,ECC-CON,12.8,5.2,,,,100,24.94,1.23,,,,,,YES,NO
Campos.EJAP.2002,6,M,G1,Healthy,Adult 18-59,31.6,9.8,,80.8,2.3,,Untrained,,,,,Leg press,Lower,60,Bilateral,,,,,ECC-CON,35.29,7.19,,,,285.33,36.68,3.531,,,,,,YES,YES
Campos.EJAP.2002,9,M,G2,Healthy,Adult 18-59,21.1,1.5,,80.1,8.4,,Untrained,,,,,Leg press,Lower,60,Bilateral,,,,,ECC-CON,39.87,8.5,,,,309.78,65.22,3.867,,,,,,YES,YES
Campos.EJAP.2002,11,M,G3,Healthy,Adult 18-59,20.7,2.9,,79.5,7.8,,Untrained,,,,,Leg press,Lower,60,Bilateral,,,,,ECC-CON,39.22,9.8,,,,293.48,44.84,3.692,,,,,,YES,YES
Campos.EJAP.2002,7,M,G4,Healthy,Adult 18-59,20.4,3.5,,70.2,9.5,,Untrained,,,,,Leg press,Lower,60,Bilateral,,,,,ECC-CON,35.29,5.23,,,,301.63,32.61,4.297,,,,,,YES,YES
Campos.EJAP.2002,6,M,G1,Healthy,Adult 18-59,31.6,9.8,,80.8,2.3,,Untrained,,,,,Squat,Lower,60,Bilateral,,,,,ECC-CON,25.83,13.91,,,,118.68,17.58,1.469,,,,,,YES,YES
Campos.EJAP.2002,9,M,G2,Healthy,Adult 18-59,21.1,1.5,,80.1,8.4,,Untrained,,,,,Squat,Lower,60,Bilateral,,,,,ECC-CON,25.83,6.62,,,,114.29,32.97,1.427,,,,,,YES,YES
Campos.EJAP.2002,11,M,G3,Healthy,Adult 18-59,20.7,2.9,,79.5,7.8,,Untrained,,,,,Squat,Lower,60,Bilateral,,,,,ECC-CON,25.17,3.97,,,,120.88,21.98,1.52,,,,,,YES,YES
Campos.EJAP.2002,7,M,G4,Healthy,Adult 18-59,20.4,3.5,,70.2,9.5,,Untrained,,,,,Squat,Lower,60,Bilateral,,,,,ECC-CON,33.11,9.27,,,,112.09,21.98,1.597,,,,,,YES,YES
Campos.EJAP.2002,6,M,G1,Healthy,Adult 18-59,31.6,9.8,,80.8,2.3,,Untrained,,,,,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.69,3.59,,,,94.26,23.22,1.167,,,,,,YES,YES
Campos.EJAP.2002,9,M,G2,Healthy,Adult 18-59,21.1,1.5,,80.1,8.4,,Untrained,,,,,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.03,3.27,,,,96.99,24.59,1.211,,,,,,YES,YES
Campos.EJAP.2002,11,M,G3,Healthy,Adult 18-59,20.7,2.9,,79.5,7.8,,Untrained,,,,,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,16.34,3.92,,,,96.99,17.76,1.22,,,,,,YES,YES
Campos.EJAP.2002,7,M,G4,Healthy,Adult 18-59,20.4,3.5,,70.2,9.5,,Untrained,,,,,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,17.97,2.61,,,,88.8,17.76,1.265,,,,,,YES,YES
